IRO_INSTITUTION,PERSON_UID,ID_NUMBER,AGE,CITIZENSHIP_DESC,ETHNICITY,ETHNICITY_DESC,IS_WHITE,GENDER,IS_NON_BINARY,HAWAIIAN_IRO,DEGREE,DEPARTMENT,EDLVL_IRO,FT_PT_STAT,MAJOR_IRO,MAJOR_DESC_IRO,PROGRAM,PROGRAM_DESC
MAN,1434565,20495038,27,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,ENGR,JR,FT,PREN,Pre-Engineering,PREN-BS(40),Pre-Engineering-BS
MAN,1438044,20582530,28,US Citizen,AA,African American or Black,0,M,1,N,BA,SLSC,SR,FT,BOT,Botany,BOT-BA,Botany-BA
MAN,1438757,20587510,28,US Citizen,CA,Caucasian or White,1,M,1,N,BS,ICS,JR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1435761,20518093,35,Resident Alien,KO,Korean,0,F,1,N,BS,ICS,SR,PT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1496680,21330902,26,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,PA,SR,FT,PHYS,Physics,PHYS-BS,Physics-BS
MAN,1492360,21288139,26,US Citizen,FI,Filipino,0,F,1,N,BA,MATH,SR,PT,MATH,Mathematics,MATH-BA,Mathematics-BA
MAN,1552471,21923192,25,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,ME,SR,PT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
WOA,1605508,22481514,40,Non-Citizen,CH,Chinese,0,F,1,N,BA,ACMW,SR,FT,CM,Creative Media,BA-CM-COMN,BA-Creative Media-COMN
MAN,1608928,22521225,35,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,MBBE,SR,FT,MBB,Molecular Biosciences &Biotech,MBB-BS,MolecularBioscience&Biotech-BS
MAN,1645616,22904073,25,US Citizen,FI,Filipino,0,F,1,N,BS,CEE,SR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1679418,23268933,22,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,TPSS,SR,FT,TAE,Trop Agriculture & Environment,TAE-BS,Trop Ag & the Environment-BS
MAN,1678141,23255642,24,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BA,ACM,SR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1676665,23240528,23,US Citizen,FI,Filipino,0,M,1,N,BS,ME,SR,PT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
MAN,1703521,23521256,23,Resident Alien,FI,Filipino,0,M,1,N,BS,CEE,SR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1728838,23802437,21,Resident Alien,FI,Filipino,0,N,0,N,BS,PA,SR,FT,PHYS,Physics,PHYS-BS,Physics-BS
MAN,1747747,23991192,21,US Citizen,AA,African American or Black,0,F,1,N,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1783246,24346789,21,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1784256,24357362,22,US Citizen,CA,Caucasian or White,1,M,1,N,BA,ICS,SR,FT,ICS,Information & Computer Science,ICS-BA,Information & Computer Sci-BA
MAN,1783538,24349724,19,US Citizen,FI,Filipino,0,M,1,N,BS,SLSC,JR,FT,MICR,Microbiology,MICR-BS,Microbiology-BS
MAN,1797583,24486332,20,US Citizen,JP,Japanese,0,M,1,N,BS,ICS,JR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1798586,24496307,26,Non-Citizen,CH,Chinese,0,M,1,N,BS,SLSC,SR,FT,MCB,Molecular & Cell Biology,MCB-BS,Molecular & Cell Biology-BS
MAN,1798618,24496611,21,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,OEST,SR,FT,GES,Global Environmental Science,GES-BS,Global Environmental Sci-BS
MAN,1796769,24478172,22,US Citizen,JP,Japanese,0,M,1,N,BS,MBBE,SR,PT,BENG,Biological Engineering,BENG-BS,Biological Engineering-BS
HIL,1812056,24630705,27,US Citizen,CA,Caucasian or White,1,F,1,N,BS,NATS,SR,FT,GEOL,Geology,BS-GEOL,Geology-BS
HIL,1812342,24633075,20,US Citizen,JP,Japanese,0,F,1,N,BS,NATS,JR,FT,MARE,Marine Science,BS-MARE,Marine Science-BS
MAN,1811385,24623935,22,US Citizen,CH,Chinese,0,F,1,N,BS,SLSC,SR,FT,MB,Marine Biology,MB-BS,Marine Biology-BS
MAN,1825153,24762387,18,US Citizen,CH,Chinese,0,,0,N,BS,SLSC,JR,FT,MCB,Molecular & Cell Biology,MCB-BS,Molecular & Cell Biology-BS
MAN,1823922,24749889,36,US Citizen,CA,Caucasian or White,1,M,1,N,BA,ICS,SR,PT,ICS,Information & Computer Science,ICS-BA,Information & Computer Sci-BA
MAN,1840015,24910310,20,US Citizen,FI,Filipino,0,F,1,N,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1839787,24907928,20,US Citizen,MA,Mixed Asian,0,M,1,N,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1839837,24908419,21,US Citizen,MA,Mixed Asian,0,M,1,N,BS,CEE,SR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1839879,24908885,21,US Citizen,CA,Caucasian or White,1,F,1,N,BS,OEST,SR,FT,GES,Global Environmental Science,GES-BS,Global Environmental Sci-BS
MAN,1838983,24900056,20,US Citizen,MX,Mixed Race (2 or more),0,N,0,N,BS,MBBE,SR,FT,MBB,Molecular Biosciences &Biotech,MBB-BS,MolecularBioscience&Biotech-BS
MAN,1839194,24901699,21,US Citizen,MA,Mixed Asian,0,M,1,N,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1848820,24998960,20,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,ME,JR,FT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
MAN,1849099,25000811,21,US Citizen,IN,Asian Indian,0,M,1,N,BS,EE,SR,PT,CENG,Computer Engineering,CENG-BS,Computer Engineering-BS
MAN,1849849,25008126,20,US Citizen,FI,Filipino,0,M,1,N,BS,EE,JR,PT,EE,Electrical Engineering,EE-BS,Electrical Engineering-BS
MAN,1848257,24992360,21,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,ICS,SR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1848283,24992621,21,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,ICS,JR,PT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1848301,24992801,22,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,MATH,SR,FT,MATH,Mathematics,MATH-BS,Mathematics-BS
MAN,1848717,24996978,21,Resident Alien,CH,Chinese,0,M,1,N,BS,CEE,SR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1861989,25127995,20,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,CEE,JR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1862344,25131507,21,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,HNFA,JR,FT,ANSC,Animal Sciences,ANSC-BS,Animal Sciences-BS
MAN,1875891,25266779,21,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,SLSC,SR,FT,BOT,Botany,BOT-BS,Botany-BS
MAN,1875594,25264289,18,US Citizen,JP,Japanese,0,M,1,N,BS,EE,JR,FT,EE,Electrical Engineering,EE-BS,Electrical Engineering-BS
MAN,1875598,25264326,20,US Citizen,FI,Filipino,0,M,1,N,BS,ICS,JR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1896541,25471479,19,Resident Alien,CH,Chinese,0,M,1,N,BS,CEE,JR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1896642,25472473,20,US Citizen,CH,Chinese,0,M,1,N,BS,ICS,JR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1896243,25468371,20,US Citizen,JP,Japanese,0,M,1,N,BS,ICS,JR,PT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1904176,25547900,20,US Citizen,CA,Caucasian or White,1,F,1,N,BS,HNFA,JR,FT,FSHN,Food Science & Human Nutrition,FSHN-BS,Food Sci & Human Nutrition-BS
MAN,1912729,25630216,19,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BA,PA,JR,PT,ASTR,Astronomy,ASTR-BA,Astronomy-BA
MAN,1913074,25633663,19,US Citizen,MA,Mixed Asian,0,M,1,N,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1913079,25633717,19,US Citizen,VI,Vietnamese,0,F,1,N,BS,CHEM,JR,FT,BIOC,Biochemistry,BIOC-BS,Biochemistry-BS
MAN,1913420,25637038,20,US Citizen,CA,Caucasian or White,1,F,1,N,BS,OEST,SR,FT,GES,Global Environmental Science,GES-BS,Global Environmental Sci-BS
MAN,1911920,25622337,19,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,CEE,JR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1924088,25740488,20,US Citizen,FI,Filipino,0,M,1,N,BS,ICS,JR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
WOA,1934957,25849898,20,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BA,ACMW,JR,FT,CM,Creative Media,BA-CM-DM,BA-Creative Media-DM
MAN,1943578,25934488,23,US Citizen,CA,Caucasian or White,1,F,1,N,BS,HNFA,JR,FT,FSHN,Food Science & Human Nutrition,FSHN-BS,Food Sci & Human Nutrition-BS
MAN,1980238,26309217,29,US Citizen,CA,Caucasian or White,1,M,1,N,BA,ACM,SR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1999918,26510833,21,US Citizen,CA,Caucasian or White,1,F,1,N,BS,MBBE,JR,FT,MBB,Molecular Biosciences &Biotech,MBB-BS,MolecularBioscience&Biotech-BS
HIL,2028778,26800488,34,US Citizen,CA,Caucasian or White,1,M,1,N,BS,MARE,SR,FT,MARE,Marine Science,BS-MARE1,Marine Science-BS
MAN,2041102,26931397,22,US Citizen,CA,Caucasian or White,1,F,1,N,BS,MATH,JR,FT,MATH,Mathematics,MATH-BS,Mathematics-BS
MAN,2086364,27381608,19,US Citizen,CA,Caucasian or White,1,F,1,N,BS,SLSC,SR,FT,MB,Marine Biology,MB-BS,Marine Biology-BS
MAN,1426037,20360723,27,US Citizen,HS,Hispanic,0,M,1,N,BS,SLSC,SR,PT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1547683,21875240,25,US Citizen,JP,Japanese,0,M,1,N,BS,CEE,SR,PT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1595816,22377521,25,US Citizen,FI,Filipino,0,F,1,N,BS,MEDT,SR,PT,MEDT,Medical Technology,MEDT-BS,Medical Technology-BS
MAN,1637668,22821476,25,US Citizen,CA,Caucasian or White,1,F,1,N,BS,HNFA,SR,PT,ANSC,Animal Sciences,ANSC-BS,Animal Sciences-BS
MAN,1675323,23226155,23,US Citizen,MA,Mixed Asian,0,F,1,N,BS,SLSC,SR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1698739,23468102,27,Resident Alien,FI,Filipino,0,F,1,N,BA,ACM,SR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1725869,23771817,22,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BA,ACM,SR,PT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1726092,23773975,23,US Citizen,MA,Mixed Asian,0,F,1,N,BS,HNFA,SR,PT,FSHN,Food Science & Human Nutrition,FSHN-BS,Food Sci & Human Nutrition-BS
MAN,1724882,23760848,22,US Citizen,TO,Tongan,0,F,1,N,BA,SLSC,JR,FT,BIOL,Biology,BIOL-BA,Biology-BA
WOA,1745523,23968603,23,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BA,ACMW,SR,FT,CM,Creative Media,BA-CM-VGD,BA-Creative Media-VGD
MAN,1744037,23953145,22,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,ENGR,SR,PT,PREN,Pre-Engineering,PREN-BS(40),Pre-Engineering-BS
MAN,1763513,24152335,22,US Citizen,FI,Filipino,0,M,1,N,BS,EE,SR,FT,EE,Electrical Engineering,EE-BS,Electrical Engineering-BS
MAN,1764016,24155807,19,US Citizen,FI,Filipino,0,M,1,N,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
HIL,1762797,24143371,21,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,CSCI,SR,FT,CSCI,Computer Science,BS-CSCI1,Computer Science-BS
MAN,1781986,24334415,21,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,ME,SR,FT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
MAN,1782121,24540853,22,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,CHEM,SR,FT,BIOC,Biochemistry,BIOC-BS,Biochemistry-BS
HIL,1796523,24475593,20,US Citizen,FI,Filipino,0,M,1,N,BS,CHEM,JR,FT,CHEM,Chemistry,BS-CHEM,Chemistry-BS
MAN,1809642,24606090,21,US Citizen,OA,Other Asian,0,N,0,N,BS,ICS,SR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1810838,24618259,22,US Citizen,CH,Chinese,0,M,1,N,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1808861,24597652,21,US Citizen,MA,Mixed Asian,0,M,1,N,BS,CEE,SR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1822792,24738495,25,US Citizen,HS,Hispanic,0,M,1,N,BS,SLSC,SR,FT,MB,Marine Biology,MB-BS,Marine Biology-BS
MAN,1823014,24740799,20,US Citizen,FI,Filipino,0,M,1,N,BS,CHEM,SR,FT,BIOC,Biochemistry,BIOC-BS,Biochemistry-BS
MAN,1822511,24735692,20,US Citizen,CH,Chinese,0,M,1,N,BS,ICS,SR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1822639,24736935,21,US Citizen,FI,Filipino,0,M,1,N,BA,SLSC,JR,FT,BOT,Botany,BOT-BA,Botany-BA
MAN,1838130,24891707,21,US Citizen,FI,Filipino,0,M,1,N,BS,CEE,SR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1837724,24887663,21,US Citizen,HS,Hispanic,0,F,1,N,BS,SLSC,SR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1847584,24985934,21,US Citizen,FI,Filipino,0,F,1,N,BS,HNFA,SR,FT,FSHN,Food Science & Human Nutrition,FSHN-BS,Food Sci & Human Nutrition-BS
MAN,1846875,24979000,21,US Citizen,CA,Caucasian or White,1,M,1,N,BS,CEE,SR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1847253,24982628,21,US Citizen,GC,Guamanian or Chamorro,0,F,1,N,BS,SLSC,JR,PT,MICR,Microbiology,MICR-BS,Microbiology-BS
MAN,1860461,25112622,21,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,EE,SR,FT,EE,Electrical Engineering,EE-BS,Electrical Engineering-BS
MAN,1858597,25094516,20,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,SLSC,JR,FT,MCB,Molecular & Cell Biology,MCB-BS,Molecular & Cell Biology-BS
MAN,1884023,25348520,21,US Citizen,FI,Filipino,0,M,1,N,BS,CEE,JR,PT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1895967,25465579,19,US Citizen,VI,Vietnamese,0,M,1,N,BS,ENGR,JR,FT,PREN,Pre-Engineering,PREN-BS(40),Pre-Engineering-BS
MAN,1896128,25467236,20,US Citizen,CA,Caucasian or White,1,F,1,N,BS,ME,JR,FT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
